# Rime user dictionary
#@/db_name	rime_ice_private
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	3141
#@/user_id	MacOS
a 	啊	c=3 d=2.66065 t=2748
ai 	爱	c=4 d=0.923116 t=3141
ai de 	爱的	c=3 d=0.651447 t=3141
ai hao 	爱好	c=2 d=0.867517 t=3141
ai qing 	爱情	c=3 d=0.902424 t=3141
an 	按	c=1 d=1 t=2905
an bian lu ban 	岸边露伴	c=1 d=2.09159e-05 t=3141
an zhuang 	安装	c=8 d=0.941773 t=3141
ba 	吧	c=1 d=0.16696 t=3141
ba 	把	c=5 d=1.51996 t=3141
ba ba 	爸爸	c=1 d=1 t=2460
ba ku 	巴库	c=1 d=3.9272e-05 t=3141
ba shou 	把手	c=2 d=0.0132403 t=3141
bai 	白	c=1 d=0.537944 t=3141
bai fan 	白饭	c=1 d=0.00212284 t=3141
bai jian 	拜见	c=1 d=1.40906e-05 t=3141
bai jian 	摆件	c=1 d=1.43036e-05 t=3141
bai ling 	白领	c=0 d=0.1 t=2663
bai shou zhan dui 	百兽战队	c=1 d=1.56506e-05 t=3141
bai yun 	白云	c=1 d=1 t=2832
ban 	半	c=1 d=0.355226 t=3141
ban 	板	c=1 d=0.0620385 t=3141
ban ben 	版本	c=2 d=0.222178 t=3141
ban ge jiang 	颁个奖	c=1 d=1 t=2758
ban lv 	伴侣	c=4 d=2.02233e-05 t=3141
ban shui ban xing zhi jian 	半睡半醒之间	c=1 d=0.135335 t=3141
ban xiang 	半响	c=2 d=0.0261384 t=3141
ban ye 	半夜	c=1 d=1 t=2621
bao 	包	c=0 d=0.010383 t=3141
bao chi 	保持	c=2 d=0.50822 t=3141
bao cuo 	报错	c=0 d=0.1 t=2661
bao shan 	爆闪	c=1 d=0.932394 t=3141
bei 	被	c=2 d=0.272608 t=3141
bei ai 	被爱	c=2 d=0.570407 t=3141
bei ju 	悲剧	c=1 d=0.168638 t=3141
bei liang 	悲凉	c=1 d=0.0223708 t=3141
bei shang 	悲伤	c=1 d=0.00224287 t=3141
bei xia 	背下	c=1 d=0.00653881 t=3141
ben 	本	c=1 d=1 t=2576
ben dan 	笨蛋	c=1 d=3.08924e-05 t=3141
ben ji 	本机	c=2 d=1.956 t=3132
ben shi 	本事	c=1 d=0.0111647 t=3141
beng ta 	崩塌	c=1 d=0.0182243 t=3141
bi 	比	c=2 d=1.38868 t=2689
bi 	闭	c=1 d=0.00704808 t=3141
bi bei 	必备	c=1 d=9.39813e-06 t=3141
bi jiao 	比较	c=1 d=0.179066 t=3141
bi mian 	避免	c=1 d=0.162838 t=3141
bi wo 	比我	c=1 d=0.0380064 t=3141
bi xu 	必须	c=1 d=0.20089 t=3141
bian 	便	c=2 d=0.131336 t=3141
bian 	弁	c=1 d=3.04325e-05 t=3141
bian 	边	c=1 d=0.331211 t=3141
bian cheng le 	变成了	c=1 d=0.755784 t=3141
bian de 	变得	c=1 d=0.00946646 t=3141
bian dong 	变动	c=2 d=0.00789252 t=3141
bian hua 	变化	c=1 d=0.0037164 t=3141
bian liang 	变量	c=1 d=0.0142642 t=3141
bian shang 	边上	c=1 d=0.249075 t=3141
bian su xiang 	变速箱	c=1 d=3.29671e-05 t=3141
biao bai 	表白	c=1 d=5.70025e-06 t=3141
biao bai le 	表白了	c=1 d=6.62275e-06 t=3141
biao da 	表达	c=1 d=0.131994 t=3141
biao da chu 	表达出	c=1 d=0.56836 t=3141
biao mian 	表面	c=1 d=0.0513033 t=3141
biao pan 	表盘	c=1 d=3.98655e-05 t=3141
biao qing 	表情	c=2 d=0.576075 t=3141
biao shi 	标识	c=1 d=0.0958472 t=3141
biao xian 	表现	c=1 d=0.371577 t=3141
biao zhi 	标志	c=1 d=2.88039e-05 t=3141
biao zhun 	标准	c=0 d=0.0115325 t=3141
bing 	并	c=7 d=1.61244 t=3141
bing bu hui 	并不会	c=1 d=0.366045 t=3141
bing bu shi 	并不是	c=1 d=6.05274e-06 t=3141
bing mei you 	并没有	c=3 d=0.73688 t=3141
bing qie 	并且	c=1 d=0.00394621 t=3141
bing si 	冰丝	c=1 d=3.58919e-05 t=3141
bo ai 	博爱	c=1 d=0.0235177 t=3141
bo dong 	波动	c=1 d=0.67368 t=3141
bo fang 	播放	c=1 d=0.88692 t=3141
bo lan 	波澜	c=1 d=7.96861e-06 t=3141
bo zhu 	博主	c=1 d=1 t=2900
bu 	不	c=1 d=1 t=3074
bu 	部	c=1 d=0.0505395 t=3141
bu chi 	不吃	c=1 d=0.00207043 t=3141
bu cun zai 	不存在	c=1 d=0.479505 t=3141
bu da 	不大	c=2 d=0.365119 t=3141
bu dai 	不带	c=1 d=0.0816756 t=3141
bu dai you 	不带有	c=1 d=0.0403566 t=3141
bu deng wo 	不等我	c=1 d=0.00442715 t=3141
bu ding 	布丁	c=1 d=2.08116e-05 t=3141
bu dou 	不都	c=1 d=1 t=2663
bu gan 	不敢	c=1 d=0.0322254 t=3141
bu guo 	不过	c=1 d=0.0378169 t=3141
bu han chen 	不寒碜	c=1 d=0.562705 t=3141
bu hao 	不好	c=3 d=0.749432 t=3141
bu hao yi si 	不好意思	c=1 d=0.00918669 t=3141
bu jie 	不解	c=1 d=0.0155297 t=3141
bu jing yi 	不经意	c=1 d=0.0015415 t=3141
bu kao lv 	不考虑	c=2 d=0.39673 t=3141
bu ke neng 	不可能	c=2 d=0.505247 t=3141
bu nai fan 	不耐烦	c=1 d=0.0131675 t=3141
bu neng 	不能	c=3 d=0.0876078 t=3141
bu ran 	不然	c=1 d=1 t=2772
bu ru chi cha qu 	不如吃茶去	c=1 d=1.60468e-05 t=3141
bu shao 	不少	c=1 d=0.0359725 t=3141
bu shi 	不是	c=3 d=0.384195 t=3141
bu shou heng 	不守恒	c=2 d=1.69073 t=2860
bu shu 	部署	c=1 d=0.985112 t=3141
bu suan 	不算	c=1 d=0.0352602 t=3141
bu tong 	不同	c=1 d=0.105928 t=3141
bu xi huan 	不喜欢	c=0 d=0.0194952 t=3141
bu xing 	不行	c=1 d=1 t=2669
bu xuan 	不选	c=2 d=1.86936 t=2618
bu yuan 	不远	c=1 d=0.143704 t=3141
bu yun xu 	不允许	c=1 d=1 t=2666
bu zai 	不在	c=2 d=0.0968758 t=3141
bu zhi dao 	不知道	c=3 d=0.393857 t=3141
bu zhi suo cuo 	不知所措	c=1 d=0.0237541 t=3141
bu zi jue 	不自觉	c=1 d=0.341298 t=3141
ca po 	擦破	c=1 d=0.00775048 t=3141
cai 	才	c=2 d=1.09117 t=2984
cai neng 	才能	c=1 d=0.00194013 t=3141
cai wu 	财务	c=1 d=0.00447164 t=3141
can 	喰	c=1 d=1.44473e-05 t=3141
can kao 	参考	c=1 d=0.0127147 t=3141
can zhong 	喰种	c=1 d=3.43125e-05 t=3141
cao zuo 	操作	c=1 d=1 t=3103
ce 	侧	c=1 d=0.0136366 t=3141
ce guo tou 	侧过头	c=1 d=0.010358 t=3141
ce shi 	测试	c=2 d=0.0314307 t=3141
ce tang 	侧躺	c=1 d=0.0238732 t=3141
ceng 	层	c=1 d=0.0979014 t=3141
ceng 	曾	c=1 d=0.0146986 t=3141
cha 	茶	c=1 d=1.96979e-05 t=3141
cha bie 	差别	c=1 d=0.0376283 t=3141
cha bu duo 	差不多	c=1 d=0.00143012 t=3141
cha bu duo le 	差不多了	c=1 d=0.00900478 t=3141
cha kan 	查看	c=2 d=0.0555473 t=3141
chai mi you yan 	柴米油盐	c=1 d=8.33539e-06 t=3141
chan pin 	产品	c=1 d=0.064894 t=3141
chan sheng 	产生	c=1 d=8.80668e-06 t=3141
chang fang xing 	长方形	c=1 d=0.0875977 t=3141
chang jiu 	长久	c=1 d=9.25821e-06 t=3141
chang lang 	长廊	c=2 d=0.3383 t=3141
chang nian 	常年	c=1 d=0.0020601 t=3141
chang peng 	敞篷	c=0 d=2.85173e-06 t=3141
chang yi 	长椅	c=2 d=0.234163 t=3141
chang you 	常有	c=1 d=0.00214418 t=3141
chang zhuo 	长桌	c=1 d=0.12307 t=3141
chao 	炒	c=1 d=1 t=2882
chao xiang 	超像	c=1 d=3.60627e-05 t=3141
chao xiang ke dong 	超像可动	c=1 d=2.10208e-05 t=3141
che 	扯	c=2 d=1.04671 t=3141
