# Rime user dictionary
#@/db_name	rime_ice_private
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	2445
#@/user_id	Win
ai 	爱	c=3 d=2.83244 t=2043
ai de 	爱的	c=2 d=1.66034 t=2103
ai hao 	爱好	c=2 d=1.42316 t=2346
ai qing 	爱情	c=3 d=1.45111 t=2350
an zhuang 	安装	c=4 d=1.02021 t=2429
ba 	吧	c=1 d=0.16696 t=2445
ba 	把	c=2 d=0.191092 t=2445
ba shou 	把手	c=2 d=0.0132403 t=2445
bai fan 	白饭	c=1 d=1 t=1214
ban 	半	c=1 d=0.355226 t=2445
ban 	板	c=1 d=0.0620385 t=2445
ban ben 	版本	c=2 d=1.97531 t=2008
ban shui ban xing zhi jian 	半睡半醒之间	c=1 d=0.135335 t=2445
ban xiang 	半响	c=2 d=0.0261384 t=2445
bao 	包	c=0 d=0.1 t=1992
bao chi 	保持	c=2 d=1.99005 t=2172
bao shan 	爆闪	c=1 d=1 t=2431
bei 	被	c=1 d=1 t=1244
bei ai 	被爱	c=2 d=1.94176 t=2200
bei ju 	悲剧	c=1 d=1 t=2089
bei liang 	悲凉	c=1 d=1 t=1685
bei shang 	悲伤	c=1 d=1 t=1225
bei xia 	背下	c=1 d=0.00653881 t=2445
ben shi 	本事	c=1 d=1 t=1546
beng ta 	崩塌	c=1 d=1 t=1644
bi 	闭	c=1 d=0.00704808 t=2445
bi jiao 	比较	c=1 d=0.179066 t=2445
bi mian 	避免	c=1 d=1 t=2082
bi wo 	比我	c=1 d=0.0380064 t=2445
bi xu 	必须	c=1 d=1 t=1909
bian 	便	c=2 d=0.131336 t=2445
bian 	边	c=1 d=0.331211 t=2445
bian cheng le 	变成了	c=1 d=0.755784 t=2445
bian de 	变得	c=1 d=1 t=1513
bian dong 	变动	c=2 d=1.99005 t=1339
bian hua 	变化	c=1 d=0.0037164 t=2445
bian liang 	变量	c=1 d=1 t=1595
bian shang 	边上	c=1 d=0.249075 t=2445
biao da 	表达	c=1 d=1 t=2040
biao da chu 	表达出	c=1 d=1 t=2332
biao mian 	表面	c=1 d=0.0513033 t=2445
biao qing 	表情	c=2 d=0.576075 t=2445
biao shi 	标识	c=1 d=1 t=1976
biao xian 	表现	c=1 d=1 t=2247
biao zhun 	标准	c=0 d=0.0115325 t=2445
bing 	并	c=7 d=1.61244 t=2445
bing bu hui 	并不会	c=1 d=1 t=2244
bing mei you 	并没有	c=2 d=0.153366 t=2445
bing qie 	并且	c=1 d=1 t=1338
bo ai 	博爱	c=1 d=1 t=1695
bo fang 	播放	c=1 d=0.88692 t=2445
bu 	部	c=1 d=0.0505395 t=2445
bu chi 	不吃	c=1 d=1 t=1209
bu cun zai 	不存在	c=1 d=1 t=2298
bu da 	不大	c=1 d=1 t=1738
bu dai 	不带	c=1 d=0.0816756 t=2445
bu dai you 	不带有	c=1 d=0.0403566 t=2445
bu deng wo 	不等我	c=1 d=0.00442715 t=2445
bu gan 	不敢	c=1 d=0.0322254 t=2445
bu guo 	不过	c=1 d=1 t=1790
bu han chen 	不寒碜	c=1 d=0.562705 t=2445
bu hao 	不好	c=3 d=1.97696 t=2251
bu hao yi si 	不好意思	c=1 d=0.00918669 t=2445
bu jie 	不解	c=1 d=0.0155297 t=2445
bu jing yi 	不经意	c=1 d=1 t=1150
bu kao lv 	不考虑	c=1 d=1 t=1436
bu ke neng 	不可能	c=2 d=1.11884 t=2286
bu nai fan 	不耐烦	c=1 d=0.0131675 t=2445
bu neng 	不能	c=3 d=0.0876078 t=2445
bu shao 	不少	c=1 d=1 t=1780
bu shi 	不是	c=1 d=0.0357931 t=2445
bu shu 	部署	c=1 d=1 t=2442
bu suan 	不算	c=1 d=1 t=1776
bu tong 	不同	c=1 d=1 t=1996
bu xi huan 	不喜欢	c=0 d=0.1 t=2118
bu yuan 	不远	c=1 d=0.143704 t=2445
bu zai 	不在	c=2 d=1.98511 t=1841
bu zhi dao 	不知道	c=2 d=0.393857 t=2445
bu zhi suo cuo 	不知所措	c=1 d=0.0237541 t=2445
bu zi jue 	不自觉	c=1 d=0.341298 t=2445
ca po 	擦破	c=1 d=0.00775048 t=2445
cai neng 	才能	c=1 d=1 t=1196
cai wu 	财务	c=1 d=1 t=1363
can kao 	参考	c=1 d=1 t=1572
ce 	侧	c=1 d=0.0136366 t=2445
ce guo tou 	侧过头	c=1 d=0.010358 t=2445
ce tang 	侧躺	c=1 d=0.0238732 t=2445
ceng 	层	c=1 d=1.09003 t=1963
ceng 	曾	c=1 d=1 t=1601
cha bie 	差别	c=1 d=1 t=1789
cha bu duo 	差不多	c=1 d=1 t=1135
cha bu duo le 	差不多了	c=1 d=0.00900478 t=2445
cha kan 	查看	c=1 d=1 t=1481
chan pin 	产品	c=1 d=1 t=1898
chang fang xing 	长方形	c=1 d=0.0875977 t=2445
chang lang 	长廊	c=2 d=0.3383 t=2445
chang nian 	常年	c=1 d=1 t=1208
chang yi 	长椅	c=2 d=0.234163 t=2445
chang you 	常有	c=1 d=1 t=1216
chang zhuo 	长桌	c=1 d=0.12307 t=2445
che 	扯	c=2 d=1.04671 t=2445
che che pi 	扯扯皮	c=1 d=1 t=1803
che pi 	扯皮	c=0 d=0.1 t=1802
che shang 	车上	c=2 d=0.0316191 t=2445
che tou 	车头	c=1 d=0.00527382 t=2445
che zi 	车子	c=2 d=0.0112611 t=2445
chen shan 	衬衫	c=0 d=0.00413782 t=2445
cheng 	呈	c=2 d=0.150975 t=2445
cheng qi 	撑起	c=1 d=0.0135009 t=2445
cheng wei 	成为	c=1 d=1 t=1691
cheng zhe 	撑着	c=1 d=0.0156858 t=2445
chi xu 	持续	c=1 d=1 t=2168
chong fu 	重复	c=1 d=1 t=2407
chong gui 	重归	c=1 d=0.00366107 t=2445
chong ming ming 	重命名	c=1 d=1 t=1593
chong shang 	冲上	c=1 d=0.054204 t=2445
chong shang 	崇尚	c=1 d=1 t=1610
chong xin 	重新	c=2 d=0.0265866 t=2445
chou 	抽	c=1 d=0.00941925 t=2445
chou lou 	丑陋	c=1 d=1 t=1647
chu 	出	c=4 d=0.822592 t=2445
chu ci 	除此	c=1 d=1 t=1157
chu dian 	触电	c=1 d=0.00506703 t=2445
chu gan 	触感	c=2 d=0.0529235 t=2445
chu lai 	出来	c=2 d=0.185866 t=2445
chu lai le 	出来了	c=1 d=1 t=1862
chu le 	除了	c=1 d=0.00726273 t=2445
chu li 	处理	c=1 d=1 t=1464
chu shi hua 	初始化	c=1 d=1 t=1394
chu xian 	出现	c=5 d=3.14956 t=2445
chu yu 	处于	c=1 d=1 t=2059
chu zhong 	初中	c=4 d=1.51231 t=2157
chuan di dao 	传递到	c=1 d=1 t=1928
chuan lai 	传来	c=4 d=0.0466946 t=2445
chuan shang 	穿上	c=1 d=0.22313 t=2445
chuan shu 	传输	c=3 d=2.27382 t=2014
chuan zhe 	穿着	c=1 d=0.763379 t=2445
chuang jian 	创建	c=2 d=1.55433 t=1568
ci ke 	此刻	c=2 d=0.0581014 t=2445
ci shi 	此时	c=4 d=1.01138 t=2445
ci yu 	词语	c=1 d=1 t=2130
cong 	从	c=9 d=0.620354 t=2445
cong rong 	从容	c=1 d=0.0528657 t=2445
cong wo 	从我	c=0 d=0.00428521 t=2445
cong wo de 	从我的	c=1 d=0.0430669 t=2445
cong xia zhi shang 	从下至上	c=1 d=0.0434998 t=2445
cun zai 	存在	c=3 d=1.7034 t=2287
cuo wu 	错误	c=1 d=1 t=2101
da bu dao 	达不到	c=1 d=1 t=2314
da da 	大大	c=1 d=0.532592 t=2445
da di tan 	大地毯	c=1 d=0.0632918 t=2445
da duo shu 	大多数	c=1 d=1 t=1741
da er duo 	大耳朵	c=1 d=0.65377 t=2445
da gai 	大概	c=2 d=0.144424 t=2445
da jia 	大家	c=2 d=1.33287 t=2274
da kai 	打开	c=2 d=0.276651 t=2445
da liang 	大量	c=1 d=1 t=2392
da ting 	大厅	c=2 d=0.168752 t=2445
da tui 	大腿	c=1 d=0.0500366 t=2445
da xue shi qi 	大学时期	c=1 d=1 t=1755
da yue 	大约	c=1 d=1 t=1261
dai li 	代理	c=1 d=1 t=2417
dai you 	带有	c=1 d=1 t=1221
dan 	但	c=10 d=0.878587 t=2445
dan 	单	c=1 d=1 t=2120
dan bu 	但不	c=0 d=0.1 t=2220
dan bu hui 	但不会	c=1 d=1 t=2221
dan dan 	淡淡	c=2 d=0.180231 t=2445
dan fan 	但凡	c=1 d=1 t=1800
dan shi 	但是	c=6 d=1.36221 t=2445
dan shou 	单手	c=1 d=0.951229 t=2445
dan wei 	单位	c=1 d=1 t=1566
dan wo 	但我	c=1 d=0.0253494 t=2445
dan wo men 	但我们	c=1 d=1 t=1846
dan xiao 	胆小	c=1 d=1 t=1669
dan you 	但有	c=1 d=0.0780817 t=2445
dang qian 	当前	c=1 d=1 t=1182
dang ran 	当然	c=3 d=0.159473 t=2445
dang rang 	当让	c=1 d=1 t=1457
dang shi 	当时	c=1 d=0.640824 t=2445
dang wo 	当我	c=1 d=1 t=2035
dao 	到	c=8 d=0.330018 t=2445
dao 	道	c=1 d=0.0117371 t=2445
dao di 	到底	c=2 d=1.98511 t=2030
dao le 	到了	c=1 d=0.0495388 t=2445
dao li 	道理	c=1 d=1 t=1527
dao xia 	倒下	c=1 d=0.00680566 t=2445
dao zhi 	导致	c=2 d=0.763387 t=2445
de 	地	c=4 d=0.403522 t=2445
de 	得	c=1 d=0.00895987 t=2445
de 	的	c=158 d=15.1285 t=2445
de chen shan 	的衬衫	c=1 d=0.0415857 t=2445
de guo 	德国	c=1 d=0.904837 t=2445
de qian 	的钱	c=0 d=0.1 t=1266
de shi 	的事	c=1 d=1 t=1217
de shi 	的是	c=1 d=0.008396 t=2445
de yi mian 	的一面	c=1 d=1 t=2242
deng 	瞪	c=1 d=0.0335406 t=2445
deng 	等	c=2 d=0.932394 t=2445
deng dai 	等待	c=1 d=0.157237 t=2445
deng lu 	登录	c=2 d=1.99005 t=2194
di 	地	c=1 d=0.0206508 t=2445
di fang 	地方	c=1 d=0.0241131 t=2445
di se 	底色	c=1 d=0.0658748 t=2445
di shang 	地上	c=1 d=0.231078 t=2445
di shi ni 	迪士尼	c=1 d=0.895834 t=2445
di tan 	地毯	c=1 d=0.0639279 t=2445
di yi ge meng 	第一个梦	c=1 d=0.0581343 t=2445
di zhi 	地址	c=7 d=6.02628 t=2013
dian 	点	c=1 d=1 t=2395
dian che 	电车	c=2 d=0.0117558 t=2445
dian hua 	电话	c=1 d=1 t=1984
dian ti 	电梯	c=6 d=0.922463 t=2445
dian ti kou 	电梯口	c=1 d=0.139457 t=2445
diao 	掉	c=1 d=0.00571306 t=2445
dong 	动	c=1 d=0.0323869 t=2445
dong hua 	动画	c=1 d=0.913931 t=2445
dong li 	动力	c=1 d=0.00782838 t=2445
dong wu 	动物	c=2 d=1.92312 t=2197
dong xi 	东西	c=5 d=1.88115 t=1624
dou 	都	c=13 d=1.33894 t=2445
dou hui 	都会	c=5 d=2.20052 t=2379
dou mei you 	都没有	c=1 d=1 t=1765
dou shi 	都是	c=3 d=0.640926 t=2445
dou shi yong 	都是用	c=1 d=0.0972957 t=2445
dou xu yao 	都需要	c=1 d=1 t=1165
dou zai 	都在	c=2 d=0.0400251 t=2445
dou zi 	豆子	c=5 d=4.47928 t=1305
du 	度	c=1 d=0.722527 t=2445
du hou 	读后	c=1 d=1 t=1698
du li 	独立	c=1 d=1 t=2276
