------------------------------------------------------------------------------------
导出信息：
姓名：何仲贤
支付宝账户：13809259150
起始时间：[2026-01-12 00:00:00]    终止时间：[2026-02-12 23:59:59]
导出交易类型：[全部]
导出时间：[2026-02-12 18:31:14]
共165笔记录
收入：5笔 1051.40元
支出：98笔 12013.32元
不计收支：62笔 12432.81元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅展示当前账单中的交易，不包括已删除的记录；
9.本明细仅供个人对账使用。

------------------------支付宝支付科技有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2026-02-12 09:54:54,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,付款成功，基金份额确认中,20260212001080012204520069080285	,	,,
2026-02-12 08:06:17,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-02-12 07:51:44搭乘广州地铁,支出,2.00,花呗,交易成功,2026021222001453521411756771	,20260212080616180m717NOCT	,,
2026-02-12 04:25:22,投资理财,兴全基金管理有限公司,/,余额宝-2026.02.11-收益发放,不计收支,1.79,余额宝,交易成功,20260212310335766521	,	,,
2026-02-11 17:53:37,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-02-11 17:39:41搭乘广州地铁,支出,2.00,花呗,交易成功,2026021122001453521412456013	,20260211175336129o484NOCT	,,
2026-02-11 14:47:52,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,瑞幸咖啡(广东国际大厦店)外卖订单,支出,6.80,花呗,交易成功,2026021122001153521411292508	,13140600726021146514103077106	,,
2026-02-11 09:49:21,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,付款成功，基金份额确认中,20260211001080012204520066312673	,	,,
2026-02-11 08:03:26,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-02-11 07:50:47搭乘广州地铁,支出,2.00,花呗,交易成功,2026021122001453521408462808	,202602110803251250418NOCT	,,
2026-02-11 03:19:22,投资理财,兴全基金管理有限公司,/,余额宝-2026.02.10-收益发放,不计收支,1.49,余额宝,交易成功,20260211302899915521	,	,,
2026-02-10 19:21:23,美容美发,首艺造型,156******28,经营码交易,支出,40.00,花呗,交易成功,2026021022001453521408011397	,17707224839522566453527	,,
2026-02-10 17:58:40,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-02-10 17:42:19搭乘广州地铁,支出,2.00,花呗,交易成功,2026021022001453521407729628	,20260210175839128e470NOCT	,,
2026-02-10 15:42:17,信用借还,招商银行,/,信用卡还款,不计收支,2635.63,余额宝,还款成功,2026021000003001520074805004	,	,,
2026-02-10 11:06:43,信用借还,花呗,/,花呗自动还款-2026年02月账单,不计收支,1783.64,余额宝,还款成功,2026021029020999520135592182	,	,,
2026-02-10 09:50:52,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260210001080012204520063410308	,	,,
2026-02-10 08:08:13,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-02-10 07:55:48搭乘广州地铁,支出,2.00,花呗,交易成功,2026021022001453521403770236	,202602100808131007757NOCT	,,
2026-02-10 04:15:23,投资理财,兴全基金管理有限公司,/,余额宝-2026.02.09-收益发放,不计收支,1.55,余额宝,交易成功,20260210396334657521	,	,,
2026-02-09 20:43:55,餐饮美食,钱大妈,qin***@qdama.cn,鲜划算鲜去骨鸡腿排等4件商品,支出,37.41,花呗,交易成功,2026020922001453521400150542	,991443855981199360	,,
2026-02-09 17:52:52,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-02-09 17:41:58搭乘广州地铁,支出,2.00,花呗,交易成功,2026020922001453521402582016	,20260209175251142G478NOCT	,,
2026-02-09 10:00:38,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260209001080012204520060486521	,	,,
2026-02-09 08:19:21,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-02-09 08:03:34搭乘广州地铁,支出,2.00,花呗,交易成功,2026020922001453521459022790	,20260209081920142k828NOCT	,,
2026-02-09 04:24:17,投资理财,兴全基金管理有限公司,/,余额宝-2026.02.08-收益发放,不计收支,1.52,余额宝,交易成功,20260209390181452521	,	,,
2026-02-08 12:38:59,服饰装扮,优衣库佛山三水万达广场店,frc***@uniqlo.com.cn,优衣库(佛山三水万达广场店),支出,346.00,花呗,交易成功,2026020823001453521456788256	,1306386107001820260208123859	,,
2026-02-08 11:45:16,餐饮美食,luckincoffee,zhi***@lkcoffee.com,订单付款,支出,11.90,花呗,交易成功,2026020822001453521458184435	,10118817741321722882	,,
2026-02-08 03:30:48,投资理财,兴全基金管理有限公司,/,余额宝-2026.02.07-收益发放,不计收支,1.52,余额宝,交易成功,20260208384100167521	,	,,
2026-02-07 23:16:41,餐饮美食,佛山市沙县小吃三水店,/,佛山市沙县小吃三水店,支出,39.00,花呗,交易成功,2026020722001453521453729399	,2412660000482200007895351076485533	,,
2026-02-07 13:59:48,交通出行,北京轨道交通路网管理有限公司,zhi***@bmncc.com.cn,地铁_草桥_2026-02-07 13:35:03_大兴机场_2026-02-07 13:58:21,支出,35.00,花呗,交易成功,2026020722001453521452756830	,20260207135943321579	,,
2026-02-07 13:34:50,交通出行,北京轨道交通路网管理有限公司,zhi***@bmncc.com.cn,地铁_丰台科技园_2026-02-07 12:53:01_草桥_2026-02-07 13:34:11,支出,4.00,花呗,交易成功,2026020722001453521455242773	,20260207133443430579	,,
2026-02-07 10:36:37,酒店旅游,北京都市益嘉酒店投资管理有限责任公司,/,北京都市益嘉酒店投资管理有限责任公司,支出,18.00,花呗,交易成功,2026020722001453521452096752	,061266000048180000T7710751160260207103637144001	,,
2026-02-07 04:02:15,投资理财,兴全基金管理有限公司,/,余额宝-2026.02.06-收益发放,不计收支,1.53,余额宝,交易成功,20260207378319320521	,	,,
2026-02-06 19:34:58,交通出行,北京轨道交通路网管理有限公司,zhi***@bmncc.com.cn,地铁_蒲黄榆_2026-02-06 18:55:50_丰台科技园_2026-02-06 19:33:44,支出,5.00,花呗,交易成功,2026020622001453521451303719	,20260206193444256579	,,
2026-02-06 15:17:05,交通出行,北京轨道交通路网管理有限公司,zhi***@bmncc.com.cn,地铁_北土城_2026-02-06 14:44:33_天桥_2026-02-06 15:15:08,支出,5.00,花呗,交易成功,2026020622001453521451414610	,20260206151704395579	,,
2026-02-06 13:21:18,交通出行,北京公共交通控股（集团）有限公司,xcx***@163.com,北京公交-乘车时间：2026-02-06 13:21:16,支出,6.00,花呗,交易成功,2026020622001453521451124755	,30172602066540786765	,,
2026-02-06 10:45:28,投资理财,余额宝,jry***@xqfunds.com,余额宝-自动转入,不计收支,896.40,账户余额,交易成功,20260206019130101000520006682056	,20260206009130501000520063810970	,,
2026-02-06 09:22:38,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260206001080012204520053638743	,	,,
